Character	Dialog
ANTONIUS	For Brutus, as you know, was Cæsar's angel:
ANTONIUS	Judge, O you gods! how dearly Cæsar lov'd him.
ANTONIUS	This was the most unkindest cut of all;
ANTONIUS	For when the noble Cæsar saw him stab,
ANTONIUS	Ingratitude, more strong than traitors' arms,
ANTONIUS	Quite vanquish'd him: then burst his mighty heart;
ANTONIUS	And, in his mantle muffling up his face,
ANTONIUS	Even at the base of Pompey's status,
ANTONIUS	Which all the while ran blood, great Cæsar fell.
ANTONIUS	O! what a fall was there, my countrymen;
ANTONIUS	Then I, and you, and all of us fell down,
ANTONIUS	Whilst bloody treason flourish'd over us.
ANTONIUS	O! now you weep, and I perceive you feel
ANTONIUS	The dint of pity; these are gracious drops.
ANTONIUS	Kind souls, what! weep you when you but behold
ANTONIUS	Our Cæsar's vesture wounded? Look you here,
ANTONIUS	Here is himself, marr'd, as you see, with traitors.
ANTONIUS	Stay, countrymen!
ANTONIUS	Good friends, sweet friends, let me not stir you up
ANTONIUS	To such a sudden flood of mutiny.
ANTONIUS	They that have done this deed are honourable:
ANTONIUS	What private griefs they have, alas! I know not,
ANTONIUS	That made them do it; they are wise and honourable,
ANTONIUS	And will, no doubt, with reasons answer you.
ANTONIUS	I come not, friends, to steal away your hearts:
ANTONIUS	I am no orator, as Brutus is;
ANTONIUS	But, as you know me all, a plain blunt man,
ANTONIUS	That love my friend; and that they know full well
ANTONIUS	That gave me public leave to speak of him.
ANTONIUS	For I have neither wit, nor words, nor worth,
ANTONIUS	Action, nor utterance, nor the power of speech,
ANTONIUS	To stir men's blood: I only speak right on;
ANTONIUS	I tell you that which you yourselves do know,
ANTONIUS	Show you sweet Cæsar's wounds, poor poor dumb mouths,
ANTONIUS	And bid them speak for me: but were I Brutus,
ANTONIUS	And Brutus Antony, there were an Antony
ANTONIUS	Would ruffle up your spirits, and put a tongue
ANTONIUS	In every wound of Cæsar, that should move
ANTONIUS	The stones of Rome to rise and mutiny.
ANTONIUS	Yet hear me, countrymen; yet hear me speak.
ANTONIUS	Why, friends, you go to do you know not what.
ANTONIUS	Wherein hath Cæsar thus deserv'd your loves?
ANTONIUS	Alas! you know not: I must tell you then.
ANTONIUS	You have forgot the will I told you of.
ANTONIUS	Here is the will, and under Cæsar's seal.
ANTONIUS	To every Roman citizen he gives,
ANTONIUS	To every several man, seventy-five drachmas.
ANTONIUS	Hear me with patience.
ANTONIUS	Moreover, he hath left you all his walks,
ANTONIUS	His private arbours, and new-planted orchards,
ANTONIUS	On this side Tiber; he hath left them you,
ANTONIUS	And to your heirs for ever; common pleasures,
ANTONIUS	To walk abroad, and recreate yourselves.
ANTONIUS	Here was a Cæsar! when comes such another?
ANTONIUS	Now let it work: mischief, thou art afoot,
ANTONIUS	Take thou what course thou wilt!
ANTONIUS	How now, fellow!
ANTONIUS	Where is he?
ANTONIUS	And thither will I straight to visit him.
ANTONIUS	He comes upon a wish. Fortune is merry,
ANTONIUS	And in this mood will give us any thing.
ANTONIUS	Belike they had some notice of the people,
ANTONIUS	How I had mov'd them. Bring me to Octavius.
ANTONIUS	These many then shall die; their names are prick'd.
ANTONIUS	He shall not live; look, with a spot I damn him.
ANTONIUS	But, Lepidus, go you to Cæsar's house;
ANTONIUS	Fetch the will hither, and we shall determine
ANTONIUS	How to cut off some charge in legacies.
ANTONIUS	This is a slight unmeritable man,
ANTONIUS	Meet to be sent on errands: is it fit,
ANTONIUS	The three-fold world divided, he should stand
ANTONIUS	One of the three to share it?
ANTONIUS	Octavius, I have seen more days than you:
ANTONIUS	And though we lay these honours on this man,
ANTONIUS	To ease ourselves of divers slanderous loads,
ANTONIUS	He shall but bear them as the ass bears gold,
ANTONIUS	To groan and sweat under the business,
ANTONIUS	Either led or driven, as we point the way;
ANTONIUS	And having brought our treasure where we will,
ANTONIUS	Then take we down his load, and turn him off,
ANTONIUS	Like to the empty ass, to shake his ears,
ANTONIUS	And graze in commons.
ANTONIUS	So is my horse, Octavius; and for that
ANTONIUS	I do appoint him store of provender.
ANTONIUS	It is a creature that I teach to fight,
ANTONIUS	To wind, to stop, to run directly on,
ANTONIUS	His corporal motion govern'd by my spirit.
ANTONIUS	And, in some taste, is Lepidus but so;
ANTONIUS	He must be taught, and train'd, and bid go forth;
ANTONIUS	A barren-spirited fellow; one that feeds
ANTONIUS	On abject orts, and imitations,
ANTONIUS	Which, out of use and stal'd by other men,
ANTONIUS	Begin his fashion: do not talk of him
ANTONIUS	But as a property. And now, Octavius,
ANTONIUS	Listen great things: Brutus and Cassius
ANTONIUS	Are levying powers; we must straight make head;
ANTONIUS	Therefore let our alliance be combin'd,
ANTONIUS	Our best friends made, and our best means stretch'd out;
ANTONIUS	And let us presently go sit in council,
ANTONIUS	How covert matters may be best disclos'd,
ANTONIUS	And open perils surest answered.
ANTONIUS	Tut! I am in their bosoms, and I know
ANTONIUS	Wherefore they do it: they could be content
ANTONIUS	To visit other places; and come down
ANTONIUS	With fearful bravery, thinking by this face
ANTONIUS	To fasten in our thoughts that they have courage;
ANTONIUS	But 'tis not so.
ANTONIUS	Octavius, lead your battle softly on,
ANTONIUS	Upon the left hand of the even field.
ANTONIUS	Why do you cross me in this exigent?
ANTONIUS	No, Cæsar, we will answer on their charge.
ANTONIUS	Make forth; the generals would have some words.
ANTONIUS	In your bad strokes, Brutus, you give good words:
ANTONIUS	Witness the hole you made in Cæsar's heart,
ANTONIUS	Crying, 'Long live! hail, Cæsar!'
ANTONIUS	Not stingless too.
ANTONIUS	Villains! you did not so when your vile daggers
ANTONIUS	Hack'd one another in the sides of Cæsar:
ANTONIUS	How show'd your teeth like apes, and fawn'd like hounds,
ANTONIUS	And bow'd like bondmen, kissing Cæsar's feet;
ANTONIUS	Whilst damned Casca, like a cur, behind
ANTONIUS	Struck Cæsar on the neck. O you flatterers!
ANTONIUS	Old Cassius still!
ANTONIUS	Where is he?
ANTONIUS	This is not Brutus, friend; but, I assure you,
ANTONIUS	A prize no less in worth. Keep this man safe,
ANTONIUS	Give him all kindness: I had rather have
ANTONIUS	Such men my friends than enemies. Go on,
ANTONIUS	And see whe'r Brutus be alive or dead;
ANTONIUS	And bring us word unto Octavius' tent,
ANTONIUS	How every thing is chanc'd.
ANTONIUS	This was the noblest Roman of them all;
ANTONIUS	All the conspirators save only he
ANTONIUS	Did that they did in envy of great Cæsar;
ANTONIUS	He only, in a general honest thought
ANTONIUS	And common good to all, made one of them.
ANTONIUS	His life was gentle, and the elements
ANTONIUS	So mix'd in him that Nature might stand up
ANTONIUS	And say to all the world, 'This was a man!'
BANQUO	How far is 't call'd to Forres? What are these,
BANQUO	So wither'd and so wild in their attire,
BANQUO	That look not like th' inhabitants o' the earth,
BANQUO	And yet are on 't? Live you? or are you aught
BANQUO	That man may question? You seem to understand me,
BANQUO	By each at once her choppy finger laying
BANQUO	Upon her skinny lips: you should be women,
BANQUO	And yet your beards forbid me to interpret
BANQUO	That you are so.
BANQUO	Good sir, why do you start, and seem to fear
BANQUO	Things that do sound so fair? I' the name of truth,
BANQUO	Are ye fantastical, or that indeed
BANQUO	Which outwardly ye show? My noble partner
BANQUO	You greet with present grace and great prediction
BANQUO	Of noble having and of royal hope,
BANQUO	That he seems rapt withal: to me you speak not.
BANQUO	If you can look into the seeds of time,
BANQUO	And say which grain will grow and which will not,
BANQUO	Speak then to me, who neither beg nor fear
BANQUO	Your favours nor your hate.
BANQUO	The earth hath bubbles, as the water has,
BANQUO	And these are of them. Whither are they vanish'd?
BANQUO	Were such things here as we do speak about?
BANQUO	Or have we eaten on the insane root
BANQUO	That takes the reason prisoner?
BANQUO	You shall be king.
BANQUO	To the self-same tune and words. Who's here?
BANQUO	What! can the devil speak true?
BANQUO	That, trusted home,
BANQUO	Might yet enkindle you unto the crown,
BANQUO	Besides the Thane of Cawdor. But 'tis strange:
BANQUO	And oftentimes, to win us to our harm,
BANQUO	The instruments of darkness tell us truths,
BANQUO	Win us with honest trifles, to betray's
BANQUO	In deepest consequence.
BANQUO	Cousins, a word, I pray you.
BANQUO	Look, how our partner's rapt.
BANQUO	New honours come upon him,
BANQUO	Like our strange garments, cleave not to their mould
BANQUO	But with the aid of use.
BANQUO	Worthy Macbeth, we stay upon your leisure.
BANQUO	Very gladly.
BANQUO	There if I grow,
BANQUO	The harvest is your own.
BANQUO	This guest of summer,
BANQUO	The temple-haunting martlet, does approve
BANQUO	By his lov'd mansionry that the heaven's breath
BANQUO	Smells wooingly here: no jutty, frieze,
BANQUO	Buttress, nor coign of vantage, but this bird
BANQUO	Hath made his pendent bed and procreant cradle:
BANQUO	Where they most breed and haunt, I have observ'd
BANQUO	The air is delicate.
BANQUO	How goes the night, boy?
BANQUO	And she goes down at twelve.
BANQUO	Hold, take my sword. There's husbandry in heaven;
BANQUO	Their candles are all out. Take thee that too.
BANQUO	A heavy summons lies like lead upon me,
BANQUO	And yet I would not sleep: merciful powers!
BANQUO	Restrain in me the cursed thoughts that nature
BANQUO	Gives way to in repose.
BANQUO	Give me my sword.—
BANQUO	Who's there?
BANQUO	What, sir! not yet at rest? The king's a-bed:
BANQUO	He hath been in unusual pleasure, and
BANQUO	Sent forth great largess to your offices.
BANQUO	This diamond he greets your wife withal,
BANQUO	By the name of most kind hostess; and shut up
BANQUO	In measureless content.
BANQUO	All's well.
BANQUO	I dreamt last night of the three weird sisters:
BANQUO	To you they have show'd some truth.
BANQUO	At your kind'st leisure.
BANQUO	So I lose none
BANQUO	In seeking to augment it, but still keep
BANQUO	My bosom franchis'd and allegiance clear,
BANQUO	I shall be counsell'd.
BANQUO	Thanks, sir: the like to you.
BANQUO	Too cruel any where.
BANQUO	Dear Duff, I prithee, contradict thyself,
BANQUO	And say it is not so.
BANQUO	Look to the lady:
BANQUO	And when we have our naked frailties hid,
BANQUO	That suffer in exposure, let us meet,
BANQUO	And question this most bloody piece of work,
BANQUO	To know it further. Fears and scruples shake us:
BANQUO	In the great hand of God I stand, and thence
BANQUO	Against the undivulg'd pretence I fight
BANQUO	Of treasonous malice.
BANQUO	Thou hast it now: King, Cawdor, Glamis, all,
BANQUO	As the weird women promis'd; and, I fear,
BANQUO	Thou play'dst most foully for 't; yet it was said
BANQUO	It should not stand in thy posterity,
BANQUO	But that myself should be the root and father
BANQUO	Of many kings. If there come truth from them,—
BANQUO	As upon thee, Macbeth, their speeches shine,—
BANQUO	Why, by the verities on thee made good,
BANQUO	May they not be my oracles as well,
BANQUO	And set me up in hope? But, hush! no more.
BANQUO	Let your highness
BANQUO	Command upon me; to the which my duties
BANQUO	Are with a most indissoluble tie
BANQUO	For ever knit.
BANQUO	Ay, my good lord.
BANQUO	As far, my lord, as will fill up the time
BANQUO	'Twixt this and supper; go not my horse the better,
BANQUO	I must become a borrower of the night
BANQUO	For a dark hour or twain.
BANQUO	My lord, I will not.
BANQUO	Ay, my good lord: our time does call upon 's.
BANQUO	Give us a light there, ho!
BANQUO	It will be rain to-night.
BANQUO	O, treachery! Fly, good Fleance, fly, fly, fly!
BANQUO	Thou mayst revenge. O slave!
BENVOLIO	Part, fools!
BENVOLIO	Put up your swords; you know not what you do.
BENVOLIO	I do but keep the peace: put up thy sword,
BENVOLIO	Or manage it to part these men with me.
BENVOLIO	Here were the servants of your adversary
BENVOLIO	And yours close fighting ere I did approach:
BENVOLIO	I drew to part them; in the instant came
BENVOLIO	The fiery Tybalt, with his sword prepar'd,
BENVOLIO	Which, as he breath'd defiance to my ears,
BENVOLIO	He swung about his head, and cut the winds,
BENVOLIO	Who, nothing hurt withal hiss'd him in scorn.
BENVOLIO	While we were interchanging thrusts and blows,
BENVOLIO	Came more and more, and fought on part and part,
BENVOLIO	Till the prince came, who parted either part.
BENVOLIO	Madam, an hour before the worshipp'd sun
BENVOLIO	Peer'd forth the golden window of the east,
BENVOLIO	A troubled mind drave me to walk abroad;
BENVOLIO	Where, underneath the grove of sycamore
BENVOLIO	That westward rooteth from the city's side,
BENVOLIO	So early walking did I see your son:
BENVOLIO	Towards him I made; but he was ware of me,
BENVOLIO	And stole into the covert of the wood:
BENVOLIO	I, measuring his affections by my own,
BENVOLIO	That most are busied when they're most alone,
BENVOLIO	Pursu'd my humour not pursuing his,
BENVOLIO	And gladly shunn'd who gladly fled from me.
BENVOLIO	My noble uncle, do you know the cause?
BENVOLIO	Have you importun'd him by any means?
BENVOLIO	See where he comes: so please you, step aside;
BENVOLIO	I'll know his grievance, or be much denied.
BENVOLIO	Good morrow, cousin.
BENVOLIO	But new struck nine.
BENVOLIO	It was. What sadness lengthens Romeo's hours?
BENVOLIO	In love?
BENVOLIO	Of love?
BENVOLIO	Alas! that love, so gentle in his view,
BENVOLIO	Should be so tyrannous and rough in proof.
BENVOLIO	No, coz, I rather weep.
BENVOLIO	At thy good heart's oppression.
BENVOLIO	Soft, I will go along;
BENVOLIO	An if you leave me so, you do me wrong.
BENVOLIO	Tell me in sadness, who is that you love.
BENVOLIO	Groan! why, no;
BENVOLIO	But sadly tell me who.
BENVOLIO	I aim'd so near when I suppos'd you lov'd.
BENVOLIO	A right fair mark, fair coz, is soonest hit.
BENVOLIO	Then she hath sworn that she will still live chaste?
BENVOLIO	Be rul'd by me; forget to think of her.
BENVOLIO	By giving liberty unto thine eyes:
BENVOLIO	Examine other beauties.
BENVOLIO	I'll pay that doctrine, or else die in debt.
BENVOLIO	Tut! man, one fire burns out another's burning,
BENVOLIO	One pain is lessen'd by another's anguish;
BENVOLIO	Turn giddy, and be holp by backward turning;
BENVOLIO	One desperate grief cures with another's languish:
BENVOLIO	Take thou some new infection to thy eye,
BENVOLIO	And the rank poison of the old will die.
BENVOLIO	For what, I pray thee?
BENVOLIO	Why, Romeo, art thou mad?
BENVOLIO	At this same ancient feast of Capulet's,
BENVOLIO	Sups the fair Rosaline, whom thou so lov'st,
BENVOLIO	With all the admired beauties of Verona:
BENVOLIO	Go thither; and, with unattainted eye
BENVOLIO	Compare her face with some that I shall show,
BENVOLIO	And I will make thee think thy swan a crow.
BENVOLIO	Tut! you saw her fair, none else being by,
BENVOLIO	Herself pois'd with herself in either eye;
BENVOLIO	But in that crystal scales let there be weigh'd
BENVOLIO	Your lady's love against some other maid
BENVOLIO	That I will show you shining at this feast,
BENVOLIO	And she shall scant show well that now shows best.
BENVOLIO	The date is out of such prolixity:
BENVOLIO	We'll have no Cupid hood-wink'd with a scarf,
BENVOLIO	Bearing a Tartar's painted bow of lath,
BENVOLIO	Scaring the ladies like a crow-keeper;
BENVOLIO	Nor no without-book prologue, faintly spoke
BENVOLIO	After the prompter, for our entrance:
BENVOLIO	But, let them measure us by what they will,
BENVOLIO	We'll measure them a measure, and be gone.
BENVOLIO	Come, knock and enter; and no sooner in,
BENVOLIO	But every man betake him to his legs.
BENVOLIO	Queen Mab! What's she?
BENVOLIO	This wind you talk of blows us from ourselves;
BENVOLIO	Supper is done, and we shall come too late.
BENVOLIO	Strike, drum.
BENVOLIO	Away, be gone; the sport is at the best.
BENVOLIO	Romeo! my cousin Romeo!
BENVOLIO	He ran this way, and leap'd this orchard wall:
BENVOLIO	Call, good Mercutio.
BENVOLIO	An if he hear thee, thou wilt anger him.
BENVOLIO	Come, he hath hid himself among these trees,
BENVOLIO	To be consorted with the humorous night:
BENVOLIO	Blind is his love and best befits the dark.
BENVOLIO	Go, then; for 'tis in vain
BENVOLIO	To seek him here that means not to be found.
BENVOLIO	Not to his father's; I spoke with his man.
BENVOLIO	Tybalt, the kinsman of old Capulet,
BENVOLIO	Hath sent a letter to his father's house.
BENVOLIO	Romeo will answer it.
BENVOLIO	Nay, he will answer the letter's master, how he dares, being dared.
BENVOLIO	Why, what is Tybalt?
BENVOLIO	The what?
BENVOLIO	Here comes Romeo, here comes Romeo.
BENVOLIO	Stop there, stop there.
BENVOLIO	Thou wouldst else have made thy tale large.
BENVOLIO	Two, two; a shirt and a smock.
BENVOLIO	She will indite him to some supper.
BENVOLIO	I pray thee, good Mercutio, let's retire:
BENVOLIO	The day is hot, the Capulets abroad,
BENVOLIO	And, if we meet, we shall not 'scape a brawl;
BENVOLIO	For now, these hot days, is the mad blood stirring.
BENVOLIO	Am I like such a fellow?
BENVOLIO	And what to?
BENVOLIO	An I were so apt to quarrel as thou art, any man should buy the fee-simple of my life for an hour and a quarter.
BENVOLIO	By my head, here come the Capulets.
BENVOLIO	We talk here in the public haunt of men:
BENVOLIO	Either withdraw unto some private place,
BENVOLIO	Or reason coldly of your grievances,
BENVOLIO	Or else depart; here all eyes gaze on us.
BENVOLIO	What! art thou hurt?
BENVOLIO	O Romeo, Romeo! brave Mercutio's dead;
BENVOLIO	That gallant spirit hath aspir'd the clouds,
BENVOLIO	Which too untimely here did scorn the earth.
BENVOLIO	Here comes the furious Tybalt back again.
BENVOLIO	Romeo, away! be gone!
BENVOLIO	The citizens are up, and Tybalt slain.
BENVOLIO	Stand not amaz'd: the prince will doom thee death
BENVOLIO	If thou art taken: hence! be gone! away!
BENVOLIO	Why dost thou stay?
BENVOLIO	There lies that Tybalt.
BENVOLIO	O noble prince! I can discover all
BENVOLIO	The unlucky manage of this fatal brawl:
BENVOLIO	There lies the man, slain by young Romeo,
BENVOLIO	That slew thy kinsman, brave Mercutio.
BENVOLIO	Tybalt, here slain, whom Romeo's hand did slay:
BENVOLIO	Romeo, that spoke him fair, bade him bethink
BENVOLIO	How nice the quarrel was, and urg'd withal
BENVOLIO	Your high displeasure: all this, uttered
BENVOLIO	With gentle breath, calm look, knees humbly bow'd,
BENVOLIO	Could not take truce with the unruly spleen
BENVOLIO	Of Tybalt deaf to peace, but that he tilts
BENVOLIO	With piercing steel at bold Mercutio's breast,
BENVOLIO	Who, all as hot, turns deadly point to point,
BENVOLIO	And, with a martial scorn, with one hand beats
BENVOLIO	Cold death aside, and with the other sends
BENVOLIO	It back to Tybalt, whose dexterity
BENVOLIO	Retorts it: Romeo he cries aloud,
BENVOLIO	'Hold, friends! friends, part!' and, swifter than his tongue,
BENVOLIO	His agile arm beats down their fatal points,
BENVOLIO	And 'twixt them rushes; underneath whose arm
BENVOLIO	An envious thrust from Tybalt hit the life
BENVOLIO	Of stout Mercutio, and then Tybalt fled;
BENVOLIO	But by and by comes back to Romeo,
BENVOLIO	Who had but newly entertain'd revenge,
BENVOLIO	And to 't they go like lightning, for, ere I.
BENVOLIO	Could draw to part them, was stout Tybalt slain,
BENVOLIO	And, as he fell, did Romeo turn and fly.
BENVOLIO	This is the truth, or let Benvolio die.
BRUTUS	A soothsayer bids you beware the ides of March.
BRUTUS	Not I.
BRUTUS	I am not gamesome: I do lack some part
BRUTUS	Of that quick spirit that is in Antony.
BRUTUS	Let me not hinder, Cassius, your desires;
